step,sim_time_s,total_vehicles,avg_speed_mps,avg_speed_kmh,halted_vehicles,congestion_pct,avg_wait_s,active_evs,co2_mg_s,fuel_waste_index,total_departed_cum,total_arrived_cum
840,841.0,45,9.479,34.126,1,2.22,0.02,0,102819.07,0.3,3,0
870,871.0,46,11.26,40.537,0,0.0,0.0,0,102556.91,0.0,3,0
900,901.0,47,9.58,34.488,0,0.0,0.0,0,109559.49,0.0,3,0
930,931.0,49,11.238,40.458,0,0.0,0.0,0,82289.98,0.0,3,0
960,961.0,54,9.926,35.734,4,7.41,0.65,0,129655.14,1.6,3,0
990,991.0,57,9.09,32.724,4,7.02,0.37,0,113474.38,1.8,3,0
1020,1021.0,62,10.786,38.83,0,0.0,0.0,0,161105.26,0.0,3,0
1050,1051.0,66,10.155,36.558,6,9.09,0.92,0,150849.58,2.4,3,0
1080,1081.0,66,9.534,34.324,6,9.09,1.68,0,152915.06,3.0,3,0
1110,1111.0,69,10.596,38.147,1,1.45,0.1,0,148039.12,0.3,3,0
1140,1141.0,77,10.744,38.68,3,3.9,0.48,0,171345.71,0.9,3,0
1170,1171.0,86,10.562,38.024,1,1.16,0.03,0,207413.07,0.5,3,0
1200,1201.0,92,9.617,34.621,2,2.17,0.34,0,194891.61,1.0,3,0
1230,1231.0,98,9.405,33.858,7,7.14,2.0,0,224035.95,3.5,3,0
1260,1261.0,98,9.438,33.978,6,6.12,0.51,0,234612.27,2.0,3,0
1290,1291.0,110,9.551,34.382,6,5.45,0.35,0,248947.63,2.6,3,0
1320,1321.0,113,8.422,30.321,12,10.62,1.92,0,182798.96,5.2,3,0
1350,1351.0,123,8.371,30.136,10,8.13,0.85,3,274041.7,3.8,4,0
1380,1381.0,132,9.612,34.602,4,3.03,0.17,3,255615.82,1.8,5,0
1410,1411.0,149,9.387,33.792,7,4.7,0.99,3,320506.74,3.1,5,0
1440,1441.0,152,8.654,31.153,20,13.16,0.78,3,384826.23,8.8,5,0
1470,1471.0,161,8.774,31.587,19,11.8,1.25,3,335287.39,7.9,5,0
